,State_Name,ind_district,Crop_Year,Season,Crop,Area,Production,phosphorus,X1,X2,X3,X4
554,Bihar,katihar,2001,kharif,Rice,39998.0,80525.0,0.0,12868.0,9117.0,1023.6039999999999,981.668
557,Bihar,khagaria,2001,kharif,Rice,1001.0,1670.0,1.0,1819.0,5465.0,805.762,788.762
560,Bihar,kishanganj,2001,kharif,Rice,11836.0,21144.0,0.0,20153.0,7408.0,1307.538,1290.797
563,Bihar,madhepura,2001,kharif,Rice,1388.0,2035.0,0.0,27435.0,22287.0,855.3480000000001,836.46
566,Bihar,madhubani,2001,kharif,Rice,3362.0,4879.0,1.0,37013.0,43125.0,882.841,819.0269999999999
570,Bihar,muzaffarpur,2001,kharif,Rice,800.0,1464.0,1.0,35774.0,20166.0,788.3610000000001,698.09
573,Bihar,nawada,2001,kharif,Rice,41.0,75.0,1.0,57.0,57.0,758.9960000000001,730.8939999999999
579,Bihar,patna,2001,kharif,Rice,163.0,276.0,1.0,840.0,700.0,712.2389999999999,666.79
585,Bihar,purnia,2001,kharif,Rice,20748.0,43473.0,0.0,45343.0,17118.0,982.91,955.188
588,Bihar,rohtas,2001,kharif,Rice,497.0,1011.0,1.0,792.0,775.0,694.201,624.869
591,Bihar,saharsa,2001,kharif,Rice,7388.0,12350.0,0.0,38797.0,17285.0,813.346,797.273
594,Bihar,samastipur,2001,kharif,Rice,1273.0,1651.0,2.0,35235.0,40533.0,765.7139999999999,731.332
600,Bihar,sheohar,2001,kharif,Rice,53.0,108.0,1.0,5577.0,6655.0,828.302,732.2560000000001
603,Bihar,sitamarhi,2001,kharif,Rice,1260.0,2419.0,1.0,26911.0,28272.0,893.1139999999999,805.404
606,Bihar,siwan,2001,kharif,Rice,183.0,375.0,0.0,49161.0,45811.0,717.2589999999999,618.877
609,Bihar,supaul,2001,kharif,Rice,6781.0,11444.0,0.0,32416.0,19907.0,924.1139999999999,894.816
613,Bihar,vaishali,2001,kharif,Rice,336.0,648.0,1.0,19943.0,11866.0,742.743,680.6469999999999
641,Chhattisgarh,bastar,2002,kharif,Rice,258955.0,128736.0,0.0,385963.0,213319.0,1009.784,1324.364
644,Chhattisgarh,bastar,2005,kharif,Rice,260734.0,349876.0,0.0,327311.0,439318.0,1419.1,1644.2
645,Chhattisgarh,bastar,2006,kharif,Rice,239805.0,326040.0,0.0,349876.0,327311.0,1709.8,1419.1
646,Chhattisgarh,bastar,2007,kharif,Rice,239537.0,345270.0,0.0,326040.0,349876.0,1259.2,1709.8
647,Chhattisgarh,bastar,2008,kharif,Rice,240340.0,280325.0,0.0,345270.0,326040.0,1398.3,1259.2
648,Chhattisgarh,bastar,2009,kharif,Rice,240074.0,278302.0,0.0,280325.0,345270.0,1038.3,1398.3
649,Chhattisgarh,bastar,2010,kharif,Rice,239376.0,401486.0,0.0,278302.0,280325.0,1623.2,1038.3
669,Chhattisgarh,bilaspur,2002,kharif,Rice,316368.0,212099.0,1.0,448855.0,195548.0,620.135,563.8290000000001
684,Chhattisgarh,dantewada,2002,kharif,Rice,204492.0,113811.0,0.0,273524.0,177354.0,850.11,1128.138
699,Chhattisgarh,dhamtari,2002,kharif,Rice,139084.0,164690.0,0.0,213867.0,139175.0,1054.0,1278.172
702,Chhattisgarh,dhamtari,2005,kharif,Rice,149772.0,272042.0,0.0,201587.0,217544.0,1100.3,916.0
703,Chhattisgarh,dhamtari,2006,kharif,Rice,163589.0,328047.0,0.0,272042.0,201587.0,1320.4,1100.3
704,Chhattisgarh,dhamtari,2007,kharif,Rice,175006.0,346087.0,0.0,328047.0,272042.0,1007.2,1320.4
705,Chhattisgarh,dhamtari,2008,kharif,Rice,152432.0,268219.0,0.0,346087.0,328047.0,901.0,1007.2
706,Chhattisgarh,dhamtari,2009,kharif,Rice,143904.0,260683.0,0.0,268219.0,346087.0,1113.0,901.0
707,Chhattisgarh,dhamtari,2010,kharif,Rice,168855.0,395133.0,0.0,260683.0,268219.0,1211.1,1113.0
714,Chhattisgarh,durg,2002,kharif,Rice,432904.0,233410.0,1.0,605170.0,224171.0,1035.6689999999999,1199.901
719,Chhattisgarh,durg,2007,kharif,Rice,465325.0,730870.0,1.0,673868.0,746241.0,1068.5,886.4
720,Chhattisgarh,durg,2008,kharif,Rice,464617.0,420864.0,1.0,730870.0,673868.0,904.8,1068.5
721,Chhattisgarh,durg,2009,kharif,Rice,451263.0,355753.0,1.0,420864.0,730870.0,794.9,904.8
722,Chhattisgarh,durg,2010,kharif,Rice,462087.0,844764.0,1.0,355753.0,420864.0,1149.7,794.9
748,Chhattisgarh,jashpur,2002,kharif,Rice,180322.0,116095.0,1.0,221341.0,120855.0,1075.461,1114.472
751,Chhattisgarh,jashpur,2005,kharif,Rice,180718.0,159200.0,1.0,167461.0,225019.0,1395.0,1328.8
752,Chhattisgarh,jashpur,2006,kharif,Rice,180309.0,188689.0,1.0,159200.0,167461.0,836.3,1395.0
753,Chhattisgarh,jashpur,2007,kharif,Rice,181389.0,220343.0,1.0,188689.0,159200.0,1233.5,836.3
754,Chhattisgarh,jashpur,2008,kharif,Rice,180921.0,203992.0,1.0,220343.0,188689.0,1412.0,1233.5
755,Chhattisgarh,jashpur,2009,kharif,Rice,180614.0,193157.0,1.0,203992.0,220343.0,1064.0,1412.0
756,Chhattisgarh,jashpur,2010,kharif,Rice,179402.0,247335.0,1.0,193157.0,203992.0,1133.9,1064.0
778,Chhattisgarh,kanker,2002,kharif,Rice,160452.0,88832.0,0.0,262672.0,133229.0,1036.0610000000001,1299.8519999999999
783,Chhattisgarh,kanker,2007,kharif,Rice,171869.0,284312.0,0.0,302060.0,275545.0,1235.7,1571.7
784,Chhattisgarh,kanker,2008,kharif,Rice,171869.0,223318.0,0.0,284312.0,302060.0,652.2,1235.7
785,Chhattisgarh,kanker,2009,kharif,Rice,171869.0,215414.0,0.0,223318.0,284312.0,868.6,652.2
786,Chhattisgarh,kanker,2010,kharif,Rice,173596.0,385716.0,0.0,215414.0,223318.0,1480.8,868.6
797,Chhattisgarh,korba,2002,kharif,Rice,108984.0,82439.0,0.0,145072.0,60674.0,1041.42,1080.303
800,Chhattisgarh,korba,2005,kharif,Rice,109622.0,129060.0,0.0,101504.0,134710.0,1482.3,1356.2
801,Chhattisgarh,korba,2006,kharif,Rice,109853.0,95823.0,0.0,129060.0,101504.0,750.7,1482.3
802,Chhattisgarh,korba,2007,kharif,Rice,109818.0,120613.0,0.0,95823.0,129060.0,857.4,750.7
803,Chhattisgarh,korba,2008,kharif,Rice,109650.0,110250.0,0.0,120613.0,95823.0,1233.6,857.4
804,Chhattisgarh,korba,2009,kharif,Rice,109232.0,101991.0,0.0,110250.0,120613.0,822.6,1233.6
