,State_Name,ind_district,Crop_Year,Season,Crop,Area,Production,phosphorus,X1,X2,X3,X4
4435,Rajasthan,bundi,2007,kharif,Rice,16967,39552,1,16208,12485,585.7,517.9
4436,Rajasthan,bundi,2008,kharif,Rice,24506,45335,1,39552,16208,564.8,585.7
4437,Rajasthan,bundi,2009,kharif,Rice,36145,31357,1,45335,39552,387.2,564.8
4438,Rajasthan,bundi,2010,kharif,Rice,22898,42971,1,31357,45335,616.7,387.2
4447,Rajasthan,chittorgarh,2005,kharif,Rice,664,974,1,1048,1283,638.6,959.8
4448,Rajasthan,chittorgarh,2006,kharif,Rice,608,958,1,974,1048,1121.8,638.6
4449,Rajasthan,chittorgarh,2007,kharif,Rice,860,1747,1,958,974,610.3,1121.8
4450,Rajasthan,chittorgarh,2008,kharif,Rice,369,667,1,1747,958,813.8,610.3
4451,Rajasthan,chittorgarh,2009,kharif,Rice,748,1133,1,667,1747,646.9,813.8
4452,Rajasthan,chittorgarh,2010,kharif,Rice,836,1693,1,1133,667,777.4,646.9
4466,Rajasthan,dholpur,2005,kharif,Rice,837,1228,0,960,1287,698.8,828.9
4467,Rajasthan,dholpur,2006,kharif,Rice,536,845,0,1228,960,375.8,698.8
4468,Rajasthan,dholpur,2007,kharif,Rice,484,983,0,845,1228,379.1,375.8
4469,Rajasthan,dholpur,2008,kharif,Rice,574,1037,0,983,845,868.8,379.1
4470,Rajasthan,dholpur,2009,kharif,Rice,569,862,0,1037,983,422.9,868.8
4471,Rajasthan,dholpur,2010,kharif,Rice,679,1375,0,862,1037,736.3,422.9
4480,Rajasthan,dungarpur,2005,kharif,Rice,21879,7234,0,20267,20126,628.6,816.1
4481,Rajasthan,dungarpur,2006,kharif,Rice,27161,18171,0,7234,20267,1369.4,628.6
4482,Rajasthan,dungarpur,2007,kharif,Rice,29975,39241,0,18171,7234,945.6,1369.4
4483,Rajasthan,dungarpur,2008,kharif,Rice,14842,3288,0,39241,18171,424.4,945.6
4484,Rajasthan,dungarpur,2009,kharif,Rice,13961,5060,0,3288,39241,719.4,424.4
4485,Rajasthan,dungarpur,2010,kharif,Rice,13727,9058,0,5060,3288,593.4,719.4
4508,Rajasthan,hanumangarh,2005,kharif,Rice,16969,65501,0,64671,67043,334.5,171.5
4509,Rajasthan,hanumangarh,2006,kharif,Rice,15550,72134,0,65501,64671,237.7,334.5
4510,Rajasthan,hanumangarh,2007,kharif,Rice,18169,76206,0,72134,65501,221.7,237.7
4511,Rajasthan,hanumangarh,2008,kharif,Rice,24241,88500,0,76206,72134,310,221.7
4512,Rajasthan,hanumangarh,2009,kharif,Rice,24635,84380,0,88500,76206,163.6,310
4513,Rajasthan,hanumangarh,2010,kharif,Rice,22311,88450,0,84380,88500,339.2,163.6
4525,Rajasthan,jhalawar,2005,kharif,Rice,719,1055,1,662,755,661.8,808.8
4526,Rajasthan,jhalawar,2006,kharif,Rice,720,1135,1,1055,662,1087,661.8
4527,Rajasthan,jhalawar,2007,kharif,Rice,1176,2389,1,1135,1055,726,1087
4528,Rajasthan,jhalawar,2008,kharif,Rice,1679,3034,1,2389,1135,618.7,726
4529,Rajasthan,jhalawar,2009,kharif,Rice,2397,3631,1,3034,2389,689.2,618.7
4530,Rajasthan,jhalawar,2010,kharif,Rice,2294,5858,1,3631,3034,601.5,689.2
4539,Rajasthan,karauli,2005,kharif,Rice,2295,2810,1,3139,2405,621.6,481.5
4540,Rajasthan,karauli,2006,kharif,Rice,1840,4327,1,2810,3139,393.5,621.6
4541,Rajasthan,karauli,2007,kharif,Rice,1892,1816,1,4327,2810,545.3,393.5
4542,Rajasthan,karauli,2008,kharif,Rice,2445,4692,1,1816,4327,944.8,545.3
4543,Rajasthan,karauli,2009,kharif,Rice,1046,1078,1,4692,1816,522.4,944.8
4544,Rajasthan,karauli,2010,kharif,Rice,1832,2241,1,1078,4692,709.1,522.4
4553,Rajasthan,kota,2005,kharif,Rice,6642,15606,1,10791,9997,665.2,853
4554,Rajasthan,kota,2006,kharif,Rice,6505,17751,1,15606,10791,964.7,665.2
4555,Rajasthan,kota,2007,kharif,Rice,8402,20645,1,17751,15606,746.6,964.7
4556,Rajasthan,kota,2008,kharif,Rice,12011,36786,1,20645,17751,662.5,746.6
4557,Rajasthan,kota,2009,kharif,Rice,17348,37733,1,36786,20645,577.9,662.5
4558,Rajasthan,kota,2010,kharif,Rice,13974,38259,1,37733,36786,593.5,577.9
4563,Rajasthan,pratapgarh,2010,kharif,Rice,1324,2681,1,2318,2765,717.8,648
4572,Rajasthan,rajsamand,2005,kharif,Rice,83,122,1,99,154,659.7,443.9
4573,Rajasthan,rajsamand,2006,kharif,Rice,105,165,1,122,99,666.6,659.7
4574,Rajasthan,rajsamand,2007,kharif,Rice,160,325,1,165,122,508.6,666.6
4575,Rajasthan,rajsamand,2008,kharif,Rice,105,190,1,325,165,314.4,508.6
4576,Rajasthan,rajsamand,2009,kharif,Rice,61,92,1,190,325,390.4,314.4
4577,Rajasthan,rajsamand,2010,kharif,Rice,86,174,1,92,190,808.2,390.4
4599,Rajasthan,sirohi,2005,kharif,Rice,1,2,1,2,10,948.6,675.8
4600,Rajasthan,sirohi,2006,kharif,Rice,7,11,1,2,2,1545.5,948.6
4601,Rajasthan,sirohi,2007,kharif,Rice,3,6,1,11,2,862.2,1545.5
4602,Rajasthan,sirohi,2008,kharif,Rice,3,5,1,6,11,468.1,862.2
4610,Rajasthan,tonk,2005,kharif,Rice,4,6,1,8,8,390.7,508.7
4611,Rajasthan,tonk,2009,kharif,Rice,7,11,1,6,8,295.8,547.2
4612,Rajasthan,tonk,2010,kharif,Rice,2,4,1,11,6,770.5,295.8
4621,Rajasthan,udaipur,2005,kharif,Rice,5785,4477,1,4165,6070,705.4,608.5
4622,Rajasthan,udaipur,2006,kharif,Rice,6175,5725,1,4477,4165,1092,705.4
4623,Rajasthan,udaipur,2007,kharif,Rice,5759,4256,1,5725,4477,513.8,1092
4624,Rajasthan,udaipur,2008,kharif,Rice,3689,2013,1,4256,5725,594.5,513.8
4625,Rajasthan,udaipur,2009,kharif,Rice,4253,2594,1,2013,4256,582.8,594.5
4626,Rajasthan,udaipur,2010,kharif,Rice,4881,5269,1,2594,2013,873.7,582.8
5414,Uttar Pradesh,agra,2005,kharif,Rice,1021,2314,0,2575,1436,419.4,432.3
5415,Uttar Pradesh,agra,2006,kharif,Rice,1086,2056,0,2314,2575,315.2,419.4
5416,Uttar Pradesh,agra,2007,kharif,Rice,1395,2763,0,2056,2314,367.5,315.2
5417,Uttar Pradesh,agra,2008,kharif,Rice,4176,9183,0,2763,2056,545.1,367.5
5418,Uttar Pradesh,agra,2009,kharif,Rice,4816,8467,0,9183,2763,371,545.1
5419,Uttar Pradesh,agra,2010,kharif,Rice,4342,9413,0,8467,9183,419,371
5432,Uttar Pradesh,aligarh,2005,kharif,Rice,36832,76868,0,86421,63252,775.2,513.7
5433,Uttar Pradesh,aligarh,2006,kharif,Rice,38447,79239,0,76868,86421,358.7,775.2
5437,Uttar Pradesh,aligarh,2010,kharif,Rice,64485,131614,0,115088,102410,626,284.3
5450,Uttar Pradesh,allahabad,2005,kharif,Rice,187745,378494,0,291720,408380,848.6,729
5451,Uttar Pradesh,allahabad,2006,kharif,Rice,162136,342918,0,378494,291720,896.8,848.6
5452,Uttar Pradesh,allahabad,2007,kharif,Rice,165636,356449,0,342918,378494,1009.3,896.8
5453,Uttar Pradesh,allahabad,2008,kharif,Rice,185494,453347,0,356449,342918,1237.1,1009.3
