,State_Name,ind_district,Crop_Year,Season,Crop,Area,Production,Value,X1,X2
154,Haryana,yamunanagar,2009,kharif,Rice,73525,267000.0,3.631417885,221000.0,227000.0
155,Haryana,yamunanagar,2010,kharif,Rice,74578,244000.0,3.271742337,267000.0,221000.0
158,Himachal Pradesh,bilaspur,2004,kharif,Rice,1497,2027.0,1.354041416,2672.0,675.0
159,Himachal Pradesh,bilaspur,2005,kharif,Rice,1416,1937.0,1.367937853,2027.0,2672.0
160,Himachal Pradesh,bilaspur,2006,kharif,Rice,1484,3851.0,2.595013477,1937.0,2027.0
161,Himachal Pradesh,bilaspur,2007,kharif,Rice,2123,4768.0,2.245878474,3851.0,1937.0
162,Himachal Pradesh,bilaspur,2008,kharif,Rice,1560,3257.0,2.087820513,4768.0,3851.0
163,Himachal Pradesh,bilaspur,2010,kharif,Rice,1540,2956.0,1.919480519,3257.0,4768.0
166,Himachal Pradesh,chamba,2004,kharif,Rice,2760,4193.0,1.519202899,4496.0,4996.0
167,Himachal Pradesh,chamba,2005,kharif,Rice,2772,4585.0,1.654040404,4193.0,4496.0
168,Himachal Pradesh,chamba,2006,kharif,Rice,2726,4031.0,1.478723404,4585.0,4193.0
169,Himachal Pradesh,chamba,2007,kharif,Rice,2706,3345.0,1.236141907,4031.0,4585.0
170,Himachal Pradesh,chamba,2008,kharif,Rice,2666,3285.0,1.232183046,3345.0,4031.0
171,Himachal Pradesh,chamba,2010,kharif,Rice,3506,5767.0,1.644894467,3285.0,3345.0
174,Himachal Pradesh,hamirpur,2004,kharif,Rice,2261,2364.0,1.045555064,2833.0,2998.0
175,Himachal Pradesh,hamirpur,2005,kharif,Rice,2421,3253.0,1.343659645,2364.0,2833.0
176,Himachal Pradesh,hamirpur,2006,kharif,Rice,2056,3084.0,1.5,3253.0,2364.0
177,Himachal Pradesh,hamirpur,2007,kharif,Rice,2022,3164.0,1.564787339,3084.0,3253.0
178,Himachal Pradesh,hamirpur,2008,kharif,Rice,1995,2912.0,1.459649123,3164.0,3084.0
179,Himachal Pradesh,hamirpur,2010,kharif,Rice,1908,2870.0,1.504192872,2912.0,3164.0
182,Himachal Pradesh,kangra,2004,kharif,Rice,37079,48680.0,1.312872515,56121.0,34219.0
183,Himachal Pradesh,kangra,2005,kharif,Rice,36961,50934.0,1.378047131,48680.0,56121.0
184,Himachal Pradesh,kangra,2006,kharif,Rice,38279,54148.0,1.414561509,50934.0,48680.0
185,Himachal Pradesh,kangra,2007,kharif,Rice,37121,53986.0,1.454325045,54148.0,50934.0
186,Himachal Pradesh,kangra,2008,kharif,Rice,36855,55836.0,1.515018315,53986.0,54148.0
187,Himachal Pradesh,kangra,2010,kharif,Rice,37611,59209.0,1.574246896,55836.0,53986.0
190,Himachal Pradesh,kinnaur,2004,kharif,Rice,31,43.0,1.387096774,40.0,32.0
191,Himachal Pradesh,kinnaur,2005,kharif,Rice,22,31.0,1.409090909,43.0,40.0
192,Himachal Pradesh,kinnaur,2006,kharif,Rice,28,44.0,1.571428571,31.0,43.0
193,Himachal Pradesh,kinnaur,2007,kharif,Rice,13,20.0,1.538461538,44.0,31.0
194,Himachal Pradesh,kinnaur,2008,kharif,Rice,16,24.0,1.5,20.0,44.0
